Date,Rank,Gross,Change,Theaters,Per Theater,Total Gross,Days
2009/12/18,1,26752099,0,3452,7750,26752099,1
2009/12/19,1,25529036,-0.0457183939099508,3452,7395,52281135,2
2009/12/20,1,24744346,-0.0307371574860876,3452,7168,77025481,3
2009/12/21,1,16385820,-0.337795389702359,3452,4747,93411301,4
2009/12/22,1,16086461,-0.0182693939027769,3452,4660,109497762,5
2009/12/23,2,16445291,0.0223063357440769,3452,4764,125943053,6
2009/12/24,1,11150998,-0.32193367694132,3452,3230,137094051,7
2009/12/25,2,23095046,1.07111919489179,3456,6683,160189097,8
2009/12/26,1,28274406,0.224262813765342,3456,8181,188463503,9
2009/12/27,1,24247681,-0.14241590079735,3456,7016,212711184,10
2009/12/28,1,19418139,-0.19917541805338,3456,5619,232129323,11
2009/12/29,1,18290628,-0.0580648330923988,3456,5292,250419951,12
2009/12/30,1,18466123,0.00959480450862604,3456,5343,268886074,13
2009/12/31,1,14738136,-0.201882495854707,3456,4265,283624210,14
2010/01/01,1,25274008,0.714871405719149,3461,7303,308898218,15
2010/01/02,1,25835551,0.022218201402801,3461,7465,334733769,16
2010/01/03,1,17381129,-0.327239856428841,3461,5022,352114898,17
2010/01/04,1,8094554,-0.534290666618952,3461,2339,360209452,18
2010/01/05,1,7327233,-0.0947947224763711,3461,2117,367536685,19
2010/01/06,1,6909167,-0.057056463196953,3461,1996,374445852,20
2010/01/07,1,6094445,-0.11791899081322,3461,1761,380540297,21
2010/01/08,1,13280653,1.17914067646849,3422,3881,393820950,22
2010/01/09,1,21269537,0.601543011476921,3422,6216,415090487,23
2010/01/10,1,15756027,-0.259220969408032,3422,4604,430846514,24
2010/01/11,1,5111193,-0.675603945080825,3422,1494,435957707,25
2010/01/12,1,5066734,-0.00869836063713503,3422,1481,441024441,26
2010/01/13,1,4743762,-0.0637436265649628,3422,1386,445768203,27
2010/01/14,1,4698802,-0.0094777098851081,3422,1373,450467005,28
2010/01/15,2,10394264,1.21210938447715,3285,3164,460861269,29
2010/01/16,1,17254108,0.659964380354396,3285,5252,478115377,30
2010/01/17,1,15137240,-0.122687768037617,3285,4608,493252617,31
2010/01/18,1,11615834,-0.232631972539248,3285,3536,504868451,32
2010/01/19,1,4190947,-0.639203952122594,3285,1276,509059398,33
2010/01/20,1,3792807,-0.0950000083513345,3285,1155,512852205,34
2010/01/21,1,3945213,0.0401829041129695,3285,1201,516797418,35
2010/01/22,1,9028494,1.28846807510773,3141,2874,525825912,36
2010/01/23,1,16326050,0.808280539367917,3141,5198,542151962,37
2010/01/24,1,9589537,-0.412623567856279,3141,3053,551741499,38
2010/01/25,1,3240192,-0.662111736990013,3141,1032,554981691,39
2010/01/26,1,3198046,-0.0130072538911274,3141,1018,558179737,40
2010/01/27,1,3137588,-0.0189046686633025,3141,999,561317325,41
2010/01/28,1,3155062,0.00556924618528631,3141,1004,564472387,42
2010/01/29,1,7439426,1.35793337817133,3074,2420,571911813,43
2010/01/30,1,13783881,0.852815123102239,3074,4484,585695694,44
2010/01/31,1,10056722,-0.270399824258494,3074,3272,595752416,45
2010/02/01,1,2700621,-0.731461106312773,3074,879,598453037,46
2010/02/02,1,2688514,-0.00448304297419,3074,875,601141551,47
2010/02/03,1,2647797,-0.0151447974606046,3074,861,603789348,48
2010/02/04,1,2703975,0.0212168833184718,3074,880,606493323,49
2010/02/05,2,6160319,1.27824554590926,3000,2053,612653642,50
2010/02/06,2,11539798,0.87324682374403,3000,3847,624193440,51
2010/02/07,1,5150764,-0.553652152316704,3000,1717,629344204,52
2010/02/08,1,2251567,-0.562867372684906,3000,751,631595771,53
2010/02/09,1,2025264,-0.100509112098374,3000,675,633621035,54
2010/02/10,1,1849314,-0.0868775626288721,3000,616,635470349,55
2010/02/11,1,2135304,0.154646533795775,3000,712,637605653,56
2010/02/12,4,4540671,1.1264751997842,2685,1691,642146324,57
2010/02/13,4,9200438,1.02622872258307,2685,3427,651346762,58
2010/02/14,4,9870516,0.0728310978238209,2685,3676,661217278,59
2010/02/15,3,5171224,-0.476093853654662,2685,1926,666388502,60
2010/02/16,4,1836327,-0.644895096402708,2685,684,668224829,61
2010/02/17,2,1711050,-0.0682215095677404,2685,637,669935879,62
2010/02/18,2,1785275,0.0433797960316764,2685,665,671721154,63
2010/02/19,4,3894018,1.18118665191637,2581,1509,675615172,64
2010/02/20,2,7456579,0.914880465370217,2581,2889,683071751,65
2010/02/21,2,4890260,-0.344168418251855,2581,1895,687962011,66
2010/02/22,2,1275037,-0.739270100158274,2581,494,689237048,67
2010/02/23,2,1262678,-0.00969305204476423,2581,489,690499726,68
2010/02/24,2,1202184,-0.0479092848691433,2581,466,691701910,69
2010/02/25,2,1202884,0.00058227359538976,2581,466,692904794,70
2010/02/26,4,3076750,1.55781106075066,2456,1253,695981544,71
