Date,Rank,Gross,Change,Theaters,Per Theater,Total Gross,Days
2015/06/12,1,81953950,0,4274,19175,81953950,1
2015/06/13,1,69644830,-0.15019556714472,4274,16295,151598780,2
2015/06/14,1,57207490,-0.178582387235348,4274,13385,208806270,3
2015/06/15,1,25344820,-0.556966753828913,4274,5930,234151090,4
2015/06/16,1,24342515,-0.0395467397282758,4274,5695,258493605,5
2015/06/17,1,19895470,-0.182686341160722,4274,4655,278389075,6
2015/06/18,1,17822580,-0.104189044038668,4274,4170,296211655,7
2015/06/19,2,29114435,0.633570167731047,4291,6785,325326090,8
2015/06/20,1,39112465,0.34340456890199,4291,9115,364438555,9
2015/06/21,1,38361540,-0.0191991223258365,4291,8940,402800095,10
2015/06/22,1,11566225,-0.698494247102697,4291,2695,414366320,11
2015/06/23,1,13130460,0.135241619456651,4291,3060,427496780,12
2015/06/24,1,9440200,-0.281045751633987,4291,2200,436936980,13
2015/06/25,2,8903825,-0.0568181818181818,4291,2075,445840805,14
2015/06/26,2,14692885,0.650176749879967,4198,3500,460533690,15
2015/06/27,1,22480290,0.530011975183907,4198,5355,483013980,16
2015/06/28,1,17359440,-0.227792879896122,4198,4135,500373420,17
2015/06/29,2,6526380,-0.624044324010452,4198,1555,506899800,18
2015/06/30,2,7474355,0.145252804770792,4198,1780,514374155,19
2015/07/01,4,5988150,-0.19884056885176,3802,1575,520362305,20
2015/07/02,2,6938650,0.158730158730159,3802,1825,527300955,21
2015/07/03,2,11827605,0.704597436100682,3737,3165,539128560,22
2015/07/04,1,8539045,-0.278041074249605,3737,2285,547667605,23
2015/07/05,2,8875375,0.0393873085339169,3737,2375,556542980,24
2015/07/06,2,4149050,-0.532521161077701,3737,1110,560692030,25
2015/07/07,2,4839415,0.16639110157747,3737,1295,565531445,26
2015/07/08,2,3755685,-0.223938223938224,3737,1005,569287130,27
2015/07/09,2,3251190,-0.134328358208955,3737,870,572538320,28
2015/07/10,3,5419575,0.666951177876408,3441,1575,577957895,29
2015/07/11,2,7432560,0.371428571428571,3441,2160,585390455,30
2015/07/12,2,5299140,-0.287037037037037,3441,1540,590689595,31
2015/07/13,3,2150625,-0.594155844155844,3441,625,592840220,32
2015/07/14,3,2787210,0.296,3441,810,595627430,33
2015/07/15,3,2202240,-0.209876543209877,3441,640,597829670,34
2015/07/16,3,1944165,-0.1171875,3441,565,599773835,35
2015/07/17,5,3257265,0.675405636867241,3117,1045,603031100,36
2015/07/18,4,4909275,0.507177033492823,3117,1575,607940375,37
2015/07/19,5,3288435,-0.33015873015873,3117,1055,611228810,38
2015/07/20,5,1372505,-0.582626690203699,3117,440,612601315,39
2015/07/21,5,1729935,0.260421637808241,3117,555,614331250,40
2015/07/22,5,1309140,-0.243243243243243,3117,420,615640390,41
2015/07/23,5,1262385,-0.0357142857142857,3117,405,616902775,42
2015/07/24,8,2063100,0.634287479651612,2642,781,618965875,43
2015/07/25,7,2975625,0.442307692307692,2642,1126,621941500,44
2015/07/26,8,2142450,-0.28,2642,811,624083950,45
2015/07/27,8,925750,-0.567901234567901,2642,350,625009700,46
2015/07/28,8,1084450,0.171428571428571,2642,410,626094150,47
2015/07/29,9,826350,-0.238000829913781,2642,313,626920500,48
2015/07/30,9,779130,-0.0571428571428572,2642,295,627699630,49
2015/07/31,10,1070720,0.374250766881008,1912,560,628770350,50
2015/08/01,10,1616560,0.509787806335924,1912,845,630386910,51
2015/08/02,10,1214120,-0.248948384223289,1912,635,631601030,52
2015/08/03,10,592720,-0.511811023622047,1912,310,632193750,53
2015/08/04,11,640520,0.0806451612903225,1912,335,632834270,54
2015/08/05,12,484500,-0.243583338537438,1912,253,633318770,55
2015/08/06,12,408010,-0.157874097007224,1912,213,633726780,56
2015/08/07,13,553905,0.357577020171074,1119,495,634280685,57
2015/08/08,14,833655,0.505050505050505,1119,745,635114340,58
2015/08/09,13,559500,-0.328859060402685,1119,500,635673840,59
2015/08/10,15,262965,-0.53,1119,235,635936805,60
2015/08/11,14,335700,0.276595744680851,1119,300,636272505,61
2015/08/12,14,240585,-0.283333333333333,1119,215,636513090,62
2015/08/13,13,218550,-0.0915892512001996,1119,195,636731640,63
