2016/02/04	3	$803,545	+1%	2,556	$314	  $899,071,469	49
2016/02/05	6	$1,772,763	+121%	2,262	$784	  $900,844,232	50
2016/02/06	4	$3,769,739	+113%	2,262	$1,667	  $904,613,971	51
2016/02/07	3	$1,430,814	-62%	2,262	$633	  $906,044,785	52
2016/02/08	4	$678,633	-53%	2,262	$300	  $906,723,418	53
2016/02/09	4	$708,043	+4%	2,262	$313	  $907,431,461	54
2016/02/10	4	$628,195	-11%	2,262	$278	  $908,059,656	55
2016/02/11	3	$585,308	-7%	2,262	$259	  $908,644,964	56
2016/02/12	7	$1,188,588	+103%	1,810	$657	  $909,833,552	57
2016/02/13	7	$2,461,903	+107%	1,810	$1,360	  $912,295,455	58
2016/02/14	6	$2,508,785	+2%	1,810	$1,386	  $914,804,240	59
2016/02/15	5	$1,481,415	-41%	1,810	$818	  $916,285,655	60
2016/02/16	5	$575,323	-61%	1,810	$318	  $916,860,978	61
2016/02/17	5	$465,786	-19%	1,810	$257	  $917,326,764	62
2016/02/18	5	$479,531	+3%	1,810	$265	  $917,806,295	63
2016/02/19	9	$917,914	+91%	1,618	$567	  $918,724,209	64
2016/02/20	8	$1,777,894	+94%	1,618	$1,099	  $920,502,103	65
2016/02/21	8	$1,211,487	-32%	1,618	$749	  $921,713,590	66
2016/02/22	9	$296,878	-75%	1,618	$183	  $922,010,468	67
2016/02/23	9	$365,327	+23%	1,618	$226	  $922,375,795	68
2016/02/24	9	$316,654	-13%	1,618	$196	  $922,692,449	69
