Date,Rank,Gross,Change,Theaters,Per Theater,Total Gross,Days
12/18/2015,1,119119282,0,4134,28815,119119282,1
12/19/2015,1,68294204,-0.426673811,4134,16520,187413486,2
12/20/2015,1,60553189,-0.113348052,4134,14648,247966675,3
12/21/2015,1,40109742,-0.337611401,4134,9702,288076417,4
12/22/2015,1,37361729,-0.068512358,4134,9038,325438146,5
12/23/2015,1,38022183,0.017677287,4134,9197,363460329,6
12/24/2015,1,27395725,-0.279480481,4134,6627,390856054,7
12/25/2015,1,49325663,0.800487594,4134,11932,440181717,8
12/26/2015,1,56731532,0.15014231,4134,13723,496913249,9
12/27/2015,1,43145665,-0.23947647,4134,10437,540058914,10
12/28/2015,1,31362029,-0.273112861,4134,7586,571420943,11
12/29/2015,1,29528583,-0.058460695,4134,7143,600949526,12
12/30/2015,1,28085057,-0.048885719,4134,6794,629034583,13
12/31/2015,1,22932686,-0.183455957,4134,5547,651967269,14
1/1/2016,1,34394152,0.499787334,4134,8320,686361421,15
1/2/2016,1,34368250,-0.000753093,4134,8314,720729671,16
1/3/2016,1,21479271,-0.375025758,4134,5196,742208942,17
1/4/2016,1,8021882,-0.63,4134,1940,750230824,18
1/5/2016,1,7967428,-0.01,4134,1927,758198252,19
1/6/2016,1,6210432,-0.22,4134,1502,764408684,20
1/7/2016,1,5972359,0.04,4134,1445,770381043,21
1/8/2016,2,10744380,0.80,4134,2599,781125423,22
1/9/2016,1,19204072,0.79,4134,4645,800329495,23
1/10/2016,1,12405333,-0.35,4134,3001,812734828,24
1/11/2016,2,3108701,-0.75,4134,752,815843529,25
1/12/2016,2,3844408,0.24,4134,930,819687937,26
1/13/2016,2,3114937,-0.19,4134,753,822802874,27
1/14/2016,2,3129967,0,4134,757,825932841,28
1/15/2016,3,6328954,1.02,3822,1656,832261795,29
1/16/2016,3,11028514,0.74,3822,2886,843290309,30
1/17/2016,3,8984649,-0.19,3822,2351,852274958,31
1/18/2016,1,6678148,-0.26,3822,1747,858953106,32
1/19/2016,2,2380910,-0.64,3822,623,861334016,33
1/20/2016,2,1814233,-0.24,3822,475,863148249,34
1/21/2016,2,1884097,0.04,3822,493,865032346,35
1/22/2016,5,3535257,0.88,3365,1051,868567603,36
1/23/2016,2,6814652,0.93,3365,2025,875382255,37
1/24/2016,1,3728739,-0.45,3365,1108,879110994,38
1/25/2016,2,1295742,-0.65,3365,385,880406736,39
1/26/2016,2,1574483,0.22,3365,468,881981219,40
1/27/2016,2,1324479,-0.16,3365,394,883305698,41
1/28/2016,2,1338464,0.01,3365,398,884644162,42
1/29/2016,4,2468701,0.84,2556,966,887112863,43
1/30/2016,3,5089962,1.06,2556,1991,892202825,44
1/31/2016,3,3558021,-0.30,2556,1392,895760846,45
2/1/2016,3,780785,-0.78,2556,305,896541631,46
2/2/2016,4,927503,0.19,2556,363,897469134,47
2/3/2016,3,798790,-0.14,2556,313,898267924,48
