Date,Rank,Gross,Change,Theaters,Per Theater,Total Gross,Days
1997/12/19,1,8658814,0,2674,3238,8658814,1
1997/12/20,1,10672013,0.232502857781678,2674,3991,19330827,2
1997/12/21,1,9307304,-0.127877374212344,2674,3481,28638131,3
1997/12/22,1,5578212,-0.400662963195357,2674,2086,34216343,4
1997/12/23,1,6003119,0.0761726158848033,2674,2245,40219462,5
1997/12/24,1,3571345,-0.405085089934083,2674,1336,43790807,6
1997/12/25,1,9178529,1.57004825912926,2674,3433,52969336,7
1997/12/26,1,12122298,0.320723396962629,2711,4472,65091634,8
1997/12/27,1,12466455,0.0283904091451967,2711,4598,77558089,9
1997/12/28,1,10866520,-0.128339211106927,2711,4008,88424609,10
1997/12/29,1,7942920,-0.269046576088757,2711,2930,96367529,11
1997/12/30,1,8012909,0.008811495016946,2711,2956,104380438,12
1997/12/31,1,8213735,0.0250628080263984,2711,3030,112594173,13
1998/01/01,1,11558520,0.407218518737213,2711,4264,124152693,14
1998/01/02,1,11698861,0.0121417793973624,2727,4290,135851554,15
1998/01/03,1,12726625,0.0878516293167344,2727,4667,148578179,16
1998/01/04,1,8889792,-0.301480793218941,2727,3260,157467971,17
1998/01/05,1,3022271,-0.660029053548159,2727,1108,160490242,18
1998/01/06,1,3044822,0.00746160751302583,2727,1117,163535064,19
1998/01/07,1,2841351,-0.0668252528390822,2727,1042,166376415,20
1998/01/08,1,2789088,-0.0183937148208722,2727,1023,169165503,21
1998/01/09,1,7738150,1.77443737881343,2746,2818,176903653,22
1998/01/10,1,12758118,0.648729735143413,2746,4646,189661771,23
1998/01/11,1,8220042,-0.355701052459305,2746,2993,197881813,24
1998/01/12,1,2170146,-0.735993319742162,2746,790,200051959,25
1998/01/13,1,2386164,0.0995407682248106,2746,869,202438123,26
1998/01/14,1,2095782,-0.121694066292174,2746,763,204533905,27
1998/01/15,1,2200465,0.0499493745055546,2746,801,206734370,28
1998/01/16,1,7418385,2.37128061568805,2767,2681,214152755,29
1998/01/17,1,12357344,0.665772806345316,2767,4466,226510099,30
1998/01/18,1,10235305,-0.171722904209837,2767,3699,236745404,31
1998/01/19,1,6003510,-0.413450796043694,2767,2170,242748914,32
1998/01/20,1,2322334,-0.613170628515652,2767,839,245071248,33
1998/01/21,1,2076976,-0.105651469599119,2767,751,247148224,34
